Time,S_true,I_true,R_true,I_observation,S_mean,I_mean,R_mean,U_mean,S_std,I_std,R_std,U_std,beta_true,beta_mean,beta_std,u_actual,time_ode_used_mean,time_data_used_mean,loss_mean
26,0.409059795989257,0.0807564951810433,0.5101837088296992,0.081017,0.41266437992453575,0.08249865844845772,0.5049477592110634,0.22560656629502773,0.006585323048893526,0.0008135726859866343,0.006757732158571534,0.003117625026153562,0.6000000000000001,0.6034636497497559,0.0053489790649594105,0.2227773316250266,0.0,0.0,0.0
27,0.3913257438574695,0.06726067048388377,0.541413585658646,0.067596,0.3939824290573597,0.06756087020039558,0.538692869246006,0.22778048366308212,0.006047993774977266,0.0009051321416415412,0.006301085229427002,0.0037541207814257077,0.6000000000000001,0.6034636497497559,0.0053489790649594105,0.2227773316250266,0.0,0.0,0.0
28,0.3772101651929923,0.05548972321686205,0.5673001115901445,0.056151,0.37841035798192024,0.055858089588582516,0.565665952861309,0.22839455492794514,0.005587307979758546,0.0006414241892496273,0.006042557697434084,0.0025809244650821534,0.6000000000000001,0.6034636497497559,0.0053489790649594105,0.2227773316250266,0.0,0.0,0.0
29,0.3659911266075986,0.04543361548444525,0.588575257907955,0.045837,0.3659232072532177,0.04542368231341243,0.5882655158638954,0.20951654203236103,0.005169506825587113,0.00039859621388021137,0.0056208444303714284,0.010344668823029817,0.6000000000000001,0.6034636497497559,0.0053489790649594105,0.2227773316250266,0.0,0.0,0.0
30,0.3570808018109549,0.0369769335589223,0.6059422646301216,0.036994,0.35766251012682915,0.03778382809832692,0.6043570339679718,0.3057819940149784,0.004296753763043217,0.0006619274007430311,0.0043917823470488275,0.005894604980499923,0.6000000000000001,0.6034636497497559,0.0053489790649594105,0.3154937406550673,1620.0537129342556,485.392430216074,0.016261895338387095
31,0.35031015640524793,0.027300619267081095,0.6223892243276702,0.027464,0.34905629605054855,0.027489671716466546,0.6233757883310318,0.31950613111257553,0.0020901473512247386,0.00036347187501701455,0.002593594826179765,0.002031984243729483,0.6000000000000001,0.6038939952850342,0.005286975943604159,0.3154937406550673,0.0,0.0,0.0
32,0.3454023031177838,0.02008656860948057,0.6345111282727351,0.019953,0.34328947588801384,0.020014567533507943,0.636625736951828,0.3169752284884453,0.0026160677628074063,0.00023056121340594198,0.002927893409074368,0.0023739040987959524,0.6000000000000001,0.6038939952850342,0.005286975943604159,0.3154937406550673,0.0,0.0,0.0
33,0.34183976384636033,0.014741610333871674,0.6434186258197676,0.014587,0.3392115570604801,0.0144812943181023,0.6462334096431732,0.31782325729727745,0.003117708520063273,0.0001902119563310911,0.0032321175565346574,0.0035209505061710904,0.6000000000000001,0.6038939952850342,0.005286975943604159,0.3154937406550673,0.0,0.0,0.0
34,0.3392509876955088,0.010799169877967764,0.6499498424265231,0.010748,0.336297832429409,0.0107221317011863,0.6529134064912796,0.3155354894697666,0.0035908026465233957,0.00013236022064427324,0.003662016639896742,0.0031570083571129262,0.6000000000000001,0.6038939952850342,0.005286975943604159,0.3154937406550673,0.0,0.0,0.0
35,0.3373682470543724,0.007900569351637802,0.6547311835939896,0.007821,0.3343218192458153,0.008245046949014068,0.6573759987950325,0.2691374383866787,0.004164770027487162,0.00014096382811004798,0.004288887024061763,0.00472168985659925,0.6000000000000001,0.6038939952850342,0.005286975943604159,0.24730928726807896,1694.283069998026,481.9026592075825,0.014075909913174246
36,0.3359529661788484,0.006181785322952188,0.6578652484981995,0.006013,0.32628512382507324,0.005827419925481081,0.6678030341863632,0.24731987342238426,0.0035083105620358573,0.0001492035299655548,0.0035438777928378557,0.0026536991676048144,0.6000000000000001,0.602935865521431,0.004829594255517019,0.24730928726807896,0.0,0.0,0.0
37,0.3348501425904652,0.004833297740169441,0.6603165596693656,0.004799,0.3248528055846691,0.00464524858398363,0.6704317480325699,0.24331990629434586,0.0035636908040389674,0.0001326452024578242,0.0035872865906614844,0.0037702226743425668,0.6000000000000001,0.602935865521431,0.004829594255517019,0.24730928726807896,0.0,0.0,0.0
38,0.33399066297270813,0.0037767571752931003,0.6622325798519992,0.00364,0.3237006328999996,0.003870721411658451,0.6723724752664566,0.24928460270166397,0.0035915288163725608,0.0001129957422036214,0.0036052713438077632,0.0028441184694003555,0.6000000000000001,0.602935865521431,0.004829594255517019,0.24730928726807896,0.0,0.0,0.0
39,0.3333207519159544,0.0029498271145076732,0.6637294209695384,0.002919,0.32276372984051704,0.0033504702150821686,0.6738411486148834,0.24771281704306602,0.003599286082643603,9.259733007458784e-05,0.0036058353228804064,0.004432559710285311,0.6000000000000001,0.602935865521431,0.004829594255517019,0.24730928726807896,0.0,0.0,0.0
40,0.3327985481821566,0.0023031372729057373,0.6648983145449382,0.002311,0.3219900391995907,0.002991891757119447,0.6749830469489098,0.008275272732134908,0.003593538001254631,7.260089170815275e-05,0.0035952144652707124,0.0037257782895971365,0.6000000000000001,0.602935865521431,0.004829594255517019,0.0,0.0,0.0,0.0
41,0.33233907961570225,0.002302081047992156,0.6653588393363062,0.002262,0.32133740559220314,0.002738337207119912,0.6758972555398941,0.0018068393619614653,0.0035799467171228287,5.417986774098097e-05,0.00357848684240327,0.0009139568843785968,0.6000000000000001,0.602935865521431,0.004829594255517019,0.0,0.0,0.0,0.0
42,0.3318805187937899,0.002300391699595484,0.6658190895066153,0.002335,0.3207733817398548,0.002554884849814698,0.6766513958573341,0.0011747490025300067,0.003562073997977318,3.8314301486420775e-05,0.003558866097411174,0.0007276754751296774,0.6000000000000001,0.602935865521431,0.004829594255517019,0.0,0.0,0.0,0.0
43,0.3314229893465774,0.002298071959719735,0.6662789386937037,0.002408,0.3202740401029587,0.0024195819278247654,0.6772916316986084,0.0009587099502823548,0.0035410419483318353,2.6940742282637184e-05,0.003537130428282739,0.0007086339901487765,0.6000000000000001,0.602935865521431,0.004829594255517019,0.0,0.0,0.0,0.0
44,0.33096661360661145,0.0022951252433455914,0.666738261150044,0.002292,0.3198224827647209,0.0023184528399724513,0.6778492256999016,0.000879227533005178,0.0035162690560348957,2.4110236330902105e-05,0.0035125292915477767,0.0006909108820617027,0.6000000000000001,0.602935865521431,0.004829594255517019,0.0,0.0,0.0,0.0
45,0.33051151248263033,0.0022915556389765204,0.6671969318783941,0.002372,0.3194068595767021,0.002246897842269391,0.6783455535769463,0.0008382636187889148,0.003486583368591422,2.3733224251882944e-05,0.0034837660948998125,0.0006871911090788516,0.6000000000000001,0.602935865521431,0.004829594255517019,0.0,0.0,0.0,0.0
46,0.3300578053369142,0.0022873678976834465,0.6676548267654033,0.002314,0.3190189078450203,0.002189533901400864,0.6787953451275826,0.0005671697381330887,0.0034503939759287666,2.4454699792397684e-05,0.0034491928527664926,0.0003305835491835451,0.6000000000000001,0.602935865521431,0.004829594255517019,0.0,0.0,0.0,0.0
47,0.3296056098664232,0.002282567420695563,0.6681118227128823,0.002324,0.3186529017984867,0.0021441046555992216,0.6792088821530342,0.0005412000755313784,0.003406418805517721,2.821007180810164e-05,0.0034075373047514367,0.0003347763140660646,0.6000000000000001,0.602935865521431,0.004829594255517019,0.0,0.0,0.0,0.0
48,0.3291550419879661,0.0022771602455909615,0.668567797766444,0.002265,0.31830478087067604,0.0021090340451337397,0.6795933842658997,0.0005364707667467883,0.0033536082148858076,3.5413606096626915e-05,0.0033577616788127334,0.00033353367385242406,0.6000000000000001,0.602935865521431,0.004829594255517019,0.0,0.0,0.0,0.0
49,0.32870621572760744,0.0022711530311448494,0.6690226312412488,0.002294,0.3179714009165764,0.0020820476056542248,0.6799543499946594,0.0005417252687038854,0.0032914411714734196,4.419905725243854e-05,0.0032993919342391756,0.0003293082712131417,0.6000000000000001,0.602935865521431,0.004829594255517019,0.0,0.0,0.0,0.0
50,0.32825924311451676,0.0022645530408983484,0.669476203844586,0.002239,0.31765055656433105,0.0020614703826140612,0.6802957504987717,0.0005518931757251266,0.0032197297511544027,5.3718017379921446e-05,0.0032323765786623692,0.00032536023337593535,0.6000000000000001,0.602935865521431,0.004829594255517019,0.0,1588.4506821334362,480.8955080509186,0.0
