Time,S_true,I_true,R_true,I_observation,S_mean,I_mean,R_mean,U_mean,S_std,I_std,R_std,U_std,beta_true,beta_mean,beta_std,u_actual,time_ode_used_mean,time_data_used_mean,loss_mean
20,0.5626195828924146,0.05946209873491362,0.3779183183726722,0.0561,0.5750216841697693,0.05562496557831764,0.36935335397720337,0.0017594970995560288,0.0,0.0,0.0,0.0,0.6000000000000001,0.6049785017967224,0.0,-9.981018084601385e-09,1489.1998226642609,464.606076002121,0.00016967900007276373
21,0.5415509390778535,0.06780854969896787,0.39064051122317933,0.0648,0.534111738204956,0.06449208408594131,0.40139615535736084,0.0003458714345470071,0.0,0.0,0.0,0.0,0.6000000000000001,0.6215308308601379,0.0,-9.981018084601385e-09,0.0,0.0,0.0
22,0.5186356812218459,0.07631198922048028,0.4050523295576745,0.0764,0.5096914768218994,0.07717486470937729,0.4131336808204651,0.0003153824945911765,0.0,0.0,0.0,0.0,0.6000000000000001,0.6215308308601379,0.0,-9.981018084601385e-09,0.0,0.0,0.0
23,0.4941760919745403,0.08466832566855147,0.421155582356909,0.0875,0.4837814271450043,0.0872124582529068,0.4290061295032501,0.00029910574085079134,0.0,0.0,0.0,0.0,0.6000000000000001,0.6215308308601379,0.0,-9.981018084601385e-09,0.0,0.0,0.0
24,0.4685754214611621,0.09253738525617926,0.4388871932826594,0.0943,0.45708489418029785,0.09565434604883194,0.4472607374191284,0.0002909520117100328,0.0,0.0,0.0,0.0,0.6000000000000001,0.6215308308601379,0.0,-9.981018084601385e-09,0.0,0.0,0.0
25,0.4423112134068002,0.09957381845662353,0.45811496813657704,0.1027,0.4296824336051941,0.10316944867372513,0.4671481251716614,0.241929829120636,0.0,0.0,0.0,0.0,0.6000000000000001,0.6215308308601379,0.0,0.2585070666279163,1496.1745040416718,463.9755811691284,0.06522940563825891
26,0.4189755417487844,0.08149010907319507,0.49953434917802136,0.0786,0.41526439785957336,0.08111772686243057,0.5036178827285767,0.2729111313819885,0.0,0.0,0.0,0.0,0.6000000000000001,0.6237976551055908,0.0,0.2585070666279163,0.0,0.0,0.0
27,0.4009073396073692,0.0658716336690828,0.533221026723549,0.0604,0.4000749886035919,0.06243922561407089,0.5374858379364014,0.27338048815727234,0.0,0.0,0.0,0.0,0.6000000000000001,0.6237976551055908,0.0,0.2585070666279163,0.0,0.0,0.0
28,0.3869393570476929,0.052740059629307535,0.5603205833230007,0.0526,0.38362589478492737,0.05371325835585594,0.562660813331604,0.2662995457649231,0.0,0.0,0.0,0.0,0.6000000000000001,0.6237976551055908,0.0,0.2585070666279163,0.0,0.0,0.0
29,0.37614711303870024,0.04191549281263507,0.5819373941486656,0.0422,0.3717351257801056,0.04335807263851166,0.584906816482544,0.23066332936286926,0.0,0.0,0.0,0.0,0.6000000000000001,0.6237976551055908,0.0,0.2585070666279163,0.0,0.0,0.0
