Time,S_true,I_true,R_true,I_observation,S_mean,I_mean,R_mean,U_mean,S_std,I_std,R_std,U_std,beta_true,beta_mean,beta_std,u_actual,time_ode_used_mean,loss_mean
20,0.5747502042982249,0.06977936041372813,0.35547043528804756,0.070037,0.5007981359958649,0.07179950084537268,0.4274623617529869,0.05531394248828292,0.027371970695614544,0.0008793577414840328,0.028173301038712694,0.0012403666321242368,0.6000000000000001,0.6737468466162682,0.028362268084037242,0.05309677673224728,1728.519658356905,6.0002546769405216e-05
21,0.5501527664272892,0.07592624687920563,0.37392098669350543,0.075881,0.489596351981163,0.07764477655291557,0.4324420318007469,0.053008449729532,0.004071539724194689,0.0009209729798120174,0.004360038139846446,0.0006855361243694629,0.6000000000000001,0.6585143953561783,0.003376441961393464,0.05309677673224728,0,0
22,0.5247710674745998,0.08138337338766408,0.39384555913773645,0.08129,0.4643254354596138,0.08263546228408813,0.45280151069164276,0.05368518363684416,0.003954585667442144,0.000730725670720277,0.004210688934525041,0.0005105816951882779,0.6000000000000001,0.6585143953561783,0.003376441961393464,0.05309677673224728,0,0
23,0.4990586262194084,0.08590380294243018,0.41503757083816173,0.086038,0.4391101226210594,0.08653183467686176,0.4742308408021927,0.05458525009453297,0.0038774982452240937,0.00037067325705909034,0.003999546214953986,0.0011016822844650016,0.6000000000000001,0.6585143953561783,0.003376441961393464,0.05309677673224728,0,0
24,0.47347781252624466,0.08928865872007744,0.4372335287536782,0.089122,0.41435715556144714,0.08913133107125759,0.49646561220288277,0.05096800625324249,0.003872287845994097,0.00018819533841023172,0.0038420089392472924,0.0015759331166159021,0.6000000000000001,0.6585143953561783,0.003376441961393464,0.05309677673224728,0,0
25,0.4484651303024498,0.0914070066340985,0.460127863063452,0.091582,0.3905155099928379,0.09209826122969389,0.5171921253204346,0.3933660350739956,0.0037007813885268992,0.00045427170814150715,0.003865138369873169,0.003300812564285987,0.6000000000000001,0.6585143953561783,0.003376441961393464,0.4000000072317514,1734.5324004292488,4.176186362808294e-05
26,0.4280473965025491,0.06522775332150871,0.5067248501759425,0.065198,0.4118484854698181,0.06206507980823517,0.5257674902677536,0.3989771641790867,0.003182918249210433,0.0022292920096177843,0.0034838082093808158,0.002731352816495947,0.6000000000000001,0.6197367310523987,0.00286071294977662,0.4000000072317514,0,0
27,0.4141185753853443,0.04607500856874089,0.5398064160459155,0.045917,0.39846623316407204,0.0440222485922277,0.5574735179543495,0.3989339545369148,0.0032353408007524762,0.0013357843605387562,0.003741826890066904,0.0027187285971109676,0.6000000000000001,0.6197367310523987,0.00286071294977662,0.4000000072317514,0,0
28,0.4045866560010118,0.03232054290994721,0.5630928010890419,0.032505,0.3894450254738331,0.031157089630141854,0.5796255841851234,0.3988858312368393,0.003191052566961738,0.0011038338263062374,0.003517460206690112,0.002727693300444765,0.6000000000000001,0.6197367310523987,0.00286071294977662,0.4000000072317514,0,0
29,0.3980469935258971,0.022564346080860616,0.5793886603932435,0.022592,0.38321761786937714,0.02187566668726504,0.5951985195279121,0.3985758610069752,0.0030745370330687444,0.0008333548120119613,0.0031992819819815516,0.003406245406908861,0.6000000000000001,0.6197367310523987,0.00286071294977662,0.4000000072317514,0,0
30,0.39355147614469416,0.015701673220467803,0.5907468506348393,0.015689,0.3793824017047882,0.015965824015438557,0.6046145036816597,0.0030191314435796812,0.003083154248627046,0.00027107309703514087,0.003005944088827402,0.0013802606513803031,0.6000000000000001,0.6197367310523987,0.00286071294977662,-9.81E-09,2188.407532185316,0.00011883599627270989
31,0.3897955050802896,0.01626109948608345,0.5939433954336283,0.01604,0.37502533569931984,0.01619145111180842,0.608842134475708,0.001537841966637643,0.005466733955216846,0.00028221517523587203,0.005237304531011399,0.0006865120368336888,0.6000000000000001,0.6196064427495003,0.005847604332117381,-9.81E-09,0,0
32,0.3859478684494977,0.016802082652265602,0.5972500488982381,0.016952,0.37120987474918365,0.016910737147554755,0.6119347885251045,0.0015133089691516943,0.005444584681407404,0.00016419934221670906,0.0053510022746335265,0.0006063718741939545,0.6000000000000001,0.6196064427495003,0.005847604332117381,-9.81E-09,0,0
33,0.3820166895816785,0.017320590945501993,0.6006627194728207,0.01742,0.36726102605462074,0.017450870480388403,0.6153264343738556,0.0014753734103578608,0.005430204606412505,0.00011333962630944819,0.005372568316976458,0.0006277106758766061,0.6000000000000001,0.6196064427495003,0.005847604332117381,-9.81E-09,0,0
34,0.37801085873870033,0.017812629483967717,0.6041765117773329,0.017733,0.36325768381357193,0.017848029732704163,0.6189296916127205,0.001468516009481391,0.005426393396212377,0.00012215743469925304,0.005367637039707324,0.0006254907041551029,0.6000000000000001,0.6196064427495003,0.005847604332117381,-9.81E-09,0,0
35,0.37393995639264727,0.018274303933825932,0.6077857396735278,0.018379,0.35925373807549477,0.01820053323172033,0.6225863993167877,0.09131183940917253,0.0054193032143697245,0.00018118078076777752,0.005398132417983798,0.0007986899864706814,0.6000000000000001,0.6196064427495003,0.005847604332117381,0.09278204030343654,1772.1889844238758,3.677900912119207e-05
36,0.36999946509677806,0.017045385891286336,0.6129551490119367,0.017226,0.35432783886790276,0.017075891140848398,0.6285213008522987,0.09314099699258804,0.004224910465453339,0.0003246344373915168,0.004225982292850601,0.00037091807892185985,0.6000000000000001,0.6213371008634567,0.005034731612573891,0.09278204030343654,0,0
37,0.36636552336587397,0.01586303883124177,0.6177714378028851,0.015877,0.35077305883169174,0.015823375899344683,0.6333111077547073,0.09320253040641546,0.004195073723647118,0.00032564102479096485,0.004225486375523494,0.00029982378826021926,0.6000000000000001,0.6213371008634567,0.005034731612573891,0.09278204030343654,0,0
